生<div class="hint">raw; uncooked; fresh; natural</div>,なま,raw; uncooked; fresh; natural,<ruby>彼<rt>かれ</rt></ruby>は <ruby>生<rt>なま</rt></ruby>の <ruby>魚<rt>さかな</rt></ruby>が <ruby>食<rt>た</rt></ruby>べられません。,He can't eat raw fish.
克服<div class="hint">overcoming (of a difficulty; illness; handicap; etc.); victory over</div>,こくふく,overcoming (of a difficulty; illness; handicap; etc.); victory over,<ruby>困難<rt>こんなん</rt></ruby>を <ruby>克服<rt>こくふく</rt></ruby>して <ruby>成功<rt>せいこう</rt></ruby>を <ruby>収<rt>おさ</rt></ruby>めた。,We overcame difficulties and achieved success.
免許<div class="hint">license</div>,めんきょ,license,やっと <ruby>運転<rt>うんてん</rt></ruby> <ruby>免許<rt>めんきょ</rt></ruby>を <ruby>手<rt>て</rt></ruby>に <ruby>入<rt>い</rt></ruby>れたよ。,I finally got my driver's license.
うさぎ<div class="hint">rabbit</div>,うさぎ,rabbit,うさぎとかめの <ruby>話<rt>はなし</rt></ruby>を <ruby>知<rt>し</rt></ruby>っていますか。,Do you know the story of the tortoise and the hare?
党<div class="hint">party (political); faction</div>,とう,party (political); faction,<ruby>党<rt>とう</rt></ruby>の <ruby>代表<rt>だいひょう</rt></ruby>が <ruby>質問<rt>しつもん</rt></ruby>に <ruby>答<rt>こた</rt></ruby>えました。,The party spokesman answered the question.
入力<div class="hint">input; (data) entry</div>,にゅうりょく,input; (data) entry,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>仕事<rt>しごと</rt></ruby>はデータの <ruby>入力<rt>にゅうりょく</rt></ruby>です。,Her job is inputting data.
入場<div class="hint">entrance; admission</div>,にゅうじょう,entrance; admission,<ruby>選手<rt>せんしゅ</rt></ruby>の <ruby>入場<rt>にゅうじょう</rt></ruby>です。,The athletes will march in.
全国<div class="hint">nationwide</div>,ぜんこく,nationwide,<ruby>次<rt>つぎ</rt></ruby>は <ruby>全国<rt>ぜんこく</rt></ruby>のお <ruby>天気<rt>てんき</rt></ruby>です。,And now for the nation's weather.
公平<div class="hint">fairness; impartiality</div>,こうへい,fairness; impartiality,<ruby>賞金<rt>しょうきん</rt></ruby>をもらったら <ruby>公平<rt>こうへい</rt></ruby>に <ruby>分<rt>わ</rt></ruby>けましょう。,If we win the prize; let's divide it equally.
共同<div class="hint">co-operation; collaboration</div>,きょうどう,co-operation; collaboration,２ <ruby>社<rt>しゃ</rt></ruby>が <ruby>共同<rt>きょうどう</rt></ruby>で <ruby>新<rt>しん</rt></ruby> <ruby>製品<rt>せいひん</rt></ruby>を <ruby>開発<rt>かいはつ</rt></ruby>したんだ。,The two companies jointly developed a new product.
具体的<div class="hint">concrete</div>,ぐたいてき,concrete,<ruby>具体<rt>ぐたい</rt></ruby> <ruby>的<rt>てき</rt></ruby>な <ruby>例<rt>れい</rt></ruby>をいくつか <ruby>見<rt>み</rt></ruby>せてください。,Please show me some specific examples.
具体<div class="hint">concrete; tangible</div>,ぐたい,concrete; tangible,,
典型<div class="hint">model; archetypal; representative</div>,てんけい,model; archetypal; representative,<ruby>彼<rt>かれ</rt></ruby>は <ruby>職人<rt>しょくにん</rt></ruby>の <ruby>典型<rt>てんけい</rt></ruby>です。,He's a typical artisan.
冒険<div class="hint">risk; venture</div>,ぼうけん,risk; venture,<ruby>昔<rt>むかし</rt></ruby>の <ruby>子供<rt>こども</rt></ruby>たちは <ruby>冒険<rt>ぼうけん</rt></ruby> <ruby>小説<rt>しょうせつ</rt></ruby>をよく <ruby>読<rt>よ</rt></ruby>みました。,Children in the old days used to read a lot of adventure novels.
冷静<div class="hint">calmness; composure</div>,れいせい,calmness; composure,<ruby>冷静<rt>れいせい</rt></ruby>に <ruby>話<rt>はな</rt></ruby>し <ruby>合<rt>あ</rt></ruby>いましょう。,Let's talk calmly.
凍る<div class="hint">to freeze</div>,こおる,to freeze,<ruby>寒<rt>さむ</rt></ruby>い <ruby>朝<rt>あさ</rt></ruby>は <ruby>道路<rt>どうろ</rt></ruby>が <ruby>凍<rt>こお</rt></ruby>ります。,The roads freeze on cold mornings.
処理<div class="hint">processing; disposal</div>,しょり,processing; disposal,<ruby>事務<rt>じむ</rt></ruby> <ruby>的<rt>てき</rt></ruby>な <ruby>処理<rt>しょり</rt></ruby>に１ <ruby>週間<rt>しゅうかん</rt></ruby>かかります。,The administrative processing takes one week.
出会い<div class="hint">meeting; encounter</div>,であい,meeting; encounter,,
出会う<div class="hint">to come across; to meet; to encounter</div>,であう,to come across; to meet; to encounter,アメリカで <ruby>彼女<rt>かのじょ</rt></ruby>と <ruby>出会<rt>であ</rt></ruby>いました。,I met her in the United States.
出来事<div class="hint">incident; happening</div>,できごと,incident; happening,<ruby>面白<rt>おもしろ</rt></ruby>い <ruby>出来事<rt>できごと</rt></ruby>がありました。,Something interesting happened.
出版<div class="hint">publication</div>,しゅっぱん,publication,この <ruby>本<rt>ほん</rt></ruby>は１５ <ruby>年<rt>ねん</rt></ruby> <ruby>前<rt>まえ</rt></ruby>に <ruby>出版<rt>しゅっぱん</rt></ruby>された。,This book was published 15 years ago.
出身<div class="hint">person's origin (e.g. city; country; parentage; school)</div>,しゅっしん,person's origin (e.g. city; country; parentage; school),出身はどこですか？,Where are you from?
刀<div class="hint">sword; katana</div>,かたな,sword; katana,<ruby>日本<rt>にほん</rt></ruby> <ruby>映画<rt>えいが</rt></ruby>で <ruby>刀<rt>かたな</rt></ruby>を <ruby>見<rt>み</rt></ruby>た。,I saw a sword in a Japanese movie.
分ける<div class="hint">to divide; to split</div>,わける,to divide; to split,お <ruby>菓子<rt>かし</rt></ruby>をみんなで <ruby>分<rt>わ</rt></ruby>けました。,We shared the sweets with everyone.
分析<div class="hint">analysis</div>,ぶんせき,analysis,<ruby>今<rt>いま</rt></ruby>の <ruby>経済<rt>けいざい</rt></ruby>の <ruby>動<rt>うご</rt></ruby>きを <ruby>分析<rt>ぶんせき</rt></ruby>しています。,We're analyzing today's economic movements.
切れ<div class="hint">piece; slice</div>,きれ,piece; slice,この <ruby>包丁<rt>ほうちょう</rt></ruby>は <ruby>切<rt>き</rt></ruby>れが <ruby>良<rt>い</rt></ruby>いな。,This kitchen knife cuts well.
切れる<div class="hint">to be cut; to split</div>,きれる,to be cut; to split,このはさみはよく <ruby>切<rt>き</rt></ruby>れますね。,These scissors cut well.
刈る<div class="hint">to cut; to mow; to prune</div>,かる,to cut; to mow; to prune,<ruby>庭<rt>にわ</rt></ruby>の <ruby>芝生<rt>しばふ</rt></ruby>を <ruby>刈<rt>か</rt></ruby>らなきゃ。,I have to mow the lawn.
列<div class="hint">row; line; column</div>,れつ,row; line; column,<ruby>店<rt>みせ</rt></ruby>の <ruby>前<rt>まえ</rt></ruby>に <ruby>長<rt>なが</rt></ruby>い <ruby>列<rt>れつ</rt></ruby>ができていたね。,There was a long line in front of the shop.
列車<div class="hint">train</div>,れっしゃ,train,<ruby>列車<rt>れっしゃ</rt></ruby>がホームに <ruby>入<rt>はい</rt></ruby>ってきた。,The train has arrived at the platform.
判断<div class="hint">judgement; decision</div>,はんだん,judgement; decision,<ruby>彼<rt>かれ</rt></ruby>の <ruby>判断<rt>はんだん</rt></ruby>は <ruby>正<rt>ただ</rt></ruby>しい。,His judgment is correct.
別れ<div class="hint">parting; separation</div>,わかれ,parting; separation,<ruby>別<rt>わか</rt></ruby>れはいつでも <ruby>悲<rt>かな</rt></ruby>しいものです。,Parting is always sad.
利口<div class="hint">clever; shrewd; well-behaved (of kids; animals; etc)</div>,りこう,clever; shrewd; well-behaved (of kids; animals; etc),あの <ruby>犬<rt>いぬ</rt></ruby>はとても <ruby>利口<rt>りこう</rt></ruby>ですね。,That dog is very clever.
利益<div class="hint">profit; gains</div>,りえき,profit; gains,<ruby>先月<rt>せんげつ</rt></ruby>の <ruby>利益<rt>りえき</rt></ruby>は２００ <ruby>万<rt>まん</rt></ruby> <ruby>円<rt>えん</rt></ruby>でした。,Last month's profit was two million yen.
制度<div class="hint">system; institution</div>,せいど,system; institution,<ruby>来年<rt>らいねん</rt></ruby>から <ruby>新<rt>あたら</rt></ruby>しい <ruby>制度<rt>せいど</rt></ruby>が <ruby>始<rt>はじ</rt></ruby>まります。,A new system will start from next year.
制限<div class="hint">restriction; limit</div>,せいげん,restriction; limit,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>食事<rt>しょくじ</rt></ruby>を <ruby>制限<rt>せいげん</rt></ruby>しています。,She is restricting her diet.
券<div class="hint">ticket; coupon</div>,けん,ticket; coupon,<ruby>入場<rt>にゅうじょう</rt></ruby> <ruby>券<rt>けん</rt></ruby>をお <ruby>持<rt>も</rt></ruby>ちですか。,Do you have an admission ticket?
刺激<div class="hint">stimulus</div>,しげき,stimulus,そのクイズ <ruby>番組<rt>ばんぐみ</rt></ruby>は <ruby>脳<rt>のう</rt></ruby>を <ruby>刺激<rt>しげき</rt></ruby>するね。,Quiz shows stimulate our brain.
前者<div class="hint">the former</div>,ぜんしゃ,the former,<ruby>私<rt>わたし</rt></ruby>は <ruby>前者<rt>ぜんしゃ</rt></ruby>の <ruby>方<rt>ほう</rt></ruby>が <ruby>優<rt>すぐ</rt></ruby>れていると <ruby>思<rt>おも</rt></ruby>います。,I think that the former is better.
前進<div class="hint">advance; progress</div>,ぜんしん,advance; progress,<ruby>一<rt>いち</rt></ruby> <ruby>列<rt>れつ</rt></ruby>に <ruby>並<rt>なら</rt></ruby>んで <ruby>前進<rt>ぜんしん</rt></ruby>してください。,Please line up and proceed forward.
割る<div class="hint">to divide; to split; to break</div>,わる,to divide; to split; to break,<ruby>皿<rt>さら</rt></ruby>を <ruby>落<rt>お</rt></ruby>として <ruby>割<rt>わ</rt></ruby>った。,I dropped the plate and broke it.
劇場<div class="hint">theatre; playhouse</div>,げきじょう,theatre; playhouse,<ruby>午後<rt>ごご</rt></ruby>８ <ruby>時<rt>じ</rt></ruby>に <ruby>劇場<rt>げきじょう</rt></ruby>の <ruby>前<rt>まえ</rt></ruby>で <ruby>会<rt>あ</rt></ruby>いましょう。,Let's meet in front of the theater at 8:00 pm.
加える<div class="hint">to add; to include</div>,くわえる,to add; to include,<ruby>塩<rt>しお</rt></ruby>、コショウを <ruby>加<rt>くわ</rt></ruby>えてください。,Please add salt and pepper.
加わる<div class="hint">to be added to</div>,くわわる,to be added to,<ruby>私<rt>わたし</rt></ruby>たちのチームに <ruby>彼<rt>かれ</rt></ruby>が <ruby>加<rt>くわ</rt></ruby>わった。,He joined our team.
加減<div class="hint">adjustment; add and subtract</div>,かげん,adjustment; add and subtract,<ruby>子供<rt>こども</rt></ruby>は <ruby>力<rt>ちから</rt></ruby> <ruby>加減<rt>かげん</rt></ruby>を <ruby>知<rt>し</rt></ruby>らないことが <ruby>多<rt>おお</rt></ruby>い。,Children often don't know their own strength.
劣る<div class="hint">to be inferior to</div>,おとる,to be inferior to,<ruby>私<rt>わたし</rt></ruby>は <ruby>体力<rt>たいりょく</rt></ruby>では <ruby>誰<rt>だれ</rt></ruby>にも <ruby>劣<rt>おと</rt></ruby>りません。,My physical strength is second to none.
助ける<div class="hint">to save; to rescue; to aid</div>,たすける,to save; to rescue; to aid,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>病気<rt>びょうき</rt></ruby>の <ruby>犬<rt>いぬ</rt></ruby>を <ruby>助<rt>たす</rt></ruby>けた。,She saved a sick dog.
助手<div class="hint">assistant; helper</div>,じょしゅ,assistant; helper,<ruby>資料<rt>しりょう</rt></ruby>は <ruby>助手<rt>じょしゅ</rt></ruby>に <ruby>預<rt>あず</rt></ruby>けておいてください。,Please give the materials to my assistant.
労働<div class="hint">labor; work</div>,ろうどう,labor; work,<ruby>彼<rt>かれ</rt></ruby>らは１ <ruby>日<rt>にち</rt></ruby>７ <ruby>時間<rt>じかん</rt></ruby> <ruby>労働<rt>ろうどう</rt></ruby>している。,They work seven hours a day.
効く<div class="hint">to be effective</div>,きく,to be effective,この <ruby>薬<rt>くすり</rt></ruby>はあまりよく <ruby>効<rt>き</rt></ruby>かないよ。,This medicine doesn't work very well.
勇気<div class="hint">courage; bravery</div>,ゆうき,courage; bravery,<ruby>彼<rt>かれ</rt></ruby>は <ruby>勇気<rt>ゆうき</rt></ruby>があるね。,He's courageous.
動かす<div class="hint">to move; to shift</div>,うごかす,to move; to shift,<ruby>部屋<rt>へや</rt></ruby>の <ruby>家具<rt>かぐ</rt></ruby>を <ruby>動<rt>うご</rt></ruby>かしました。,I moved the furniture in the room.
動詞<div class="hint">verb</div>,どうし,verb,「 <ruby>食<rt>た</rt></ruby>べる」は <ruby>動詞<rt>どうし</rt></ruby>です。,Eat is a verb.
勘<div class="hint">intuition</div>,かん,intuition,<ruby>女<rt>おんな</rt></ruby>の <ruby>勘<rt>かん</rt></ruby>を <ruby>甘<rt>あま</rt></ruby>く <ruby>見<rt>み</rt></ruby>てはいけません。,Don't underestimate a female intuition.
勘定<div class="hint">calculation; computation; consideration</div>,かんじょう,calculation; computation; consideration,お <ruby>勘定<rt>かんじょう</rt></ruby>をしてください。,Can I have the check; please?
勝ち<div class="hint">victory</div>,かち,victory,<ruby>歌合戦<rt>うたがっせん</rt></ruby>は <ruby>赤<rt>あか</rt></ruby> <ruby>組<rt>ぐみ</rt></ruby>の <ruby>勝<rt>か</rt></ruby>ちでしたね。,The red team won the singing contest.
勝手<div class="hint">one's own convenience</div>,かって,one's own convenience,<ruby>勝手<rt>かって</rt></ruby>なことばかり <ruby>言<rt>い</rt></ruby>わないでくれ。,Please don't say such selfish things.
勝手に<div class="hint">selfishly; of one's own convenience</div>,かってに,selfishly; of one's own convenience,,
勢い<div class="hint">force; vigor; spirit</div>,いきおい,force; vigor; spirit,そのチームには <ruby>勢<rt>いきお</rt></ruby>いがありますね。,That team has momentum.
勤め<div class="hint">service; business; responsibility</div>,つとめ,service; business; responsibility,<ruby>来月<rt>らいげつ</rt></ruby>で <ruby>勤<rt>つと</rt></ruby>めを <ruby>辞<rt>や</rt></ruby>めます。,I'll quit my job next month.
勧める<div class="hint">to recommend</div>,すすめる,to recommend,<ruby>勧<rt>すす</rt></ruby>められて <ruby>欲<rt>ほ</rt></ruby>しくもないものを <ruby>買<rt>か</rt></ruby>っちゃったよ。,Following a recommendation; I ended up buying something I didn't want.
包み<div class="hint">bundle; package</div>,つつみ,bundle; package,この <ruby>包<rt>つつ</rt></ruby>みは <ruby>誰<rt>だれ</rt></ruby>のですか。,Whose parcel is this?
化学<div class="hint">chemistry</div>,かがく,chemistry,<ruby>化粧<rt>けしょう</rt></ruby> <ruby>品<rt>ひん</rt></ruby>は <ruby>化学<rt>かがく</rt></ruby> <ruby>工場<rt>こうじょう</rt></ruby>で <ruby>作<rt>つく</rt></ruby>られます。,Cosmetics are made in chemical factories.
化粧<div class="hint">makeup; cosmetics</div>,けしょう,makeup; cosmetics,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>化粧<rt>けしょう</rt></ruby>が <ruby>上手<rt>うま</rt></ruby>い。,She's good at makeup.
区別<div class="hint">distinction; classification</div>,くべつ,distinction; classification,あの <ruby>二人<rt>ふたり</rt></ruby>はそっくりで <ruby>区別<rt>くべつ</rt></ruby>できない。,Those two look so identical that I can't tell them apart.
医師<div class="hint">doctor</div>,いし,doctor,<ruby>医師<rt>いし</rt></ruby>に <ruby>入院<rt>にゅういん</rt></ruby>を <ruby>勧<rt>すす</rt></ruby>められたの。,The doctor suggested that I get hospitalized.
